id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66.0,,US,US-AK,Aleknagik,yes,,WKK,5A8,5A8,,https://en.wikipedia.org/wiki/Aleknagik_Airport,
516263,AE-0221,medium_airport,Sas Al Nakheel Air Base,24.44128,54.51696,,AS,AE,AE-U-A,Sas Al Nakheel,no,,,,,,,
3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28.0,OC,SB,SB-GU,Honiara,yes,AGGH,HIR,AGGH,,,https://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field
4,AGGM,medium_airport,Munda Airport,-8.32797,157.263,10.0,OC,SB,SB-WE,Munda,yes,AGGM,MUA,AGGM,,,https://en.wikipedia.org/wiki/Munda_Airport,
8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22.0,OC,NR,NR-14,Yaren District,yes,ANYN,INU,ANYN,,,https://en.wikipedia.org/wiki/Nauru_International_Airport,
336951,AQBC,medium_airport,Boulder Clay Runway,-74.739373,164.03539,672.0,AN,AQ,AQ-U-A,Zucchelli Station,no,,,AQBC,,,https://en.wikipedia.org/wiki/Zucchelli_Station,
596544,AR-0767,medium_airport,Aeroestación Yabotí,-27.180308,-54.107368,400.0,SA,AR,AR-N,El Soberbio,yes,,,,,,,
336953,AT03,medium_airport,Concordia Skyway,-75.103278,123.35825,10725.0,AN,AQ,AQ-U-A,Concordia Station,no,,,AT03,,,https://en.wikipedia.org/wiki/Concordia_Station,
336959,AT28,medium_airport,Vostok Skiway,-78.466139,106.84825,11447.0,AN,AQ,AQ-U-A,Vostok Station,no,,,AT28,,,https://en.wikipedia.org/wiki/Vostok_Station,
314558,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,4560.0,AS,CN,CN-15,Bayanhot,yes,,AXF,ZBAL,,,https://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport,
35179,AYBA,medium_airport,Baimuru Airport,-7.49686002731,144.819900513,27.0,OC,PG,PG-GPK,Baimuru,yes,AYBA,VMU,AYBA,BMU,,https://en.wikipedia.org/wiki/Baimuru_Airport,
53,AYBK,medium_airport,Buka Airport,-5.422319889068604,154.67300415039062,11.0,OC,PG,PG-NSB,Buka Island,yes,AYBK,BUA,AYBK,,,https://en.wikipedia.org/wiki/Buka_Airport,
35180,AYBM,medium_airport,Balimo Airport,-8.05000019073,142.932998657,51.0,OC,PG,PG-WPD,Balimo,yes,AYBM,OPU,AYBM,BLI,,https://en.wikipedia.org/wiki/Balimo_Airport,
54,AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,4974.0,OC,PG,PG-CPK,Kundiawa,yes,AYCH,CMU,AYCH,,,https://en.wikipedia.org/wiki/Chimbu_Airport,
55,AYDU,medium_airport,Daru Airport,-9.08676,143.207993,20.0,OC,PG,PG-WPD,Daru,yes,AYDU,DAU,AYDU,,,https://en.wikipedia.org/wiki/Daru_Airport,
56,AYGA,medium_airport,Goroka Airport,-6.081689834590001,145.391998291,5282.0,OC,PG,PG-EHG,Goronka,yes,AYGA,GKA,AYGA,,,https://en.wikipedia.org/wiki/Goroka_Airport,
57,AYGN,medium_airport,Gurney Airport,-10.3114995956,150.333999634,88.0,OC,PG,PG-MBA,Gurney,yes,AYGN,GUR,AYGN,,,https://en.wikipedia.org/wiki/Gurney_Airport,
58,AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,311.0,OC,PG,PG-NPP,Popondetta,yes,AYGR,PNP,AYGR,,,https://en.wikipedia.org/wiki/Girua_Airport,
